"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","gene_reg"
"ENSG00000006377",12.3108278051797,-2.38140876698448,0.269930698575765,-8.82229690638932,1.1213545299701e-18,1.0585039760708e-15,"DLX6","Down"
"ENSG00000010438",15.1860408762545,-1.53442115069341,0.254718809581978,-6.02398053450219,1.70178842234826e-09,1.07079517282842e-07,"PRSS3","Down"
"ENSG00000019186",45.6415877798033,-1.67105271226869,0.256572748786285,-6.51297817158523,7.36752204275597e-11,7.70642805672274e-09,"CYP24A1","Down"
"ENSG00000039068",21560.1177337003,-1.86366506036185,0.1515787799389,-12.2950261317124,9.63256100214598e-35,6.21332293175089e-31,"CDH1","Down"
"ENSG00000047457",3116.28391543771,-1.70153849730899,0.268040324280612,-6.34806908951372,2.18034167655207e-10,1.90482129945639e-08,"CP","Down"
"ENSG00000054938",104.858587340961,-1.6185449727628,0.227507924467055,-7.1142355878561,1.12534786158878e-12,2.30440280101635e-10,"CHRDL2","Down"
"ENSG00000065371",95.4756272981269,-2.09992815311942,0.339147233992652,-6.19178911883715,5.94851036403789e-10,4.41125882994255e-08,"ROPN1","Down"
"ENSG00000069482",93.4046835894098,-1.69368741152078,0.22775619944841,-7.4364053124465,1.03462065582616e-13,2.74259511108109e-11,"GAL","Down"
"ENSG00000071991",64.2018708843199,-2.20135623390517,0.361725256530622,-6.08571338097543,1.15973751882037e-09,7.73864852644586e-08,"CDH19","Down"
"ENSG00000074803",73.0630858467653,-1.52979781696772,0.25942526103655,-5.89687299862518,3.70454766524429e-09,2.03655403040177e-07,"SLC12A1","Down"
"ENSG00000075043",7.11904770130526,-1.53504287311632,0.293555398563326,-5.22914203121077,1.70298499364044e-07,4.85338182797293e-06,"KCNQ2","Down"
"ENSG00000077522",109.790146250001,-1.81538629273062,0.279527792265837,-6.4944751218303,8.33233971296246e-11,8.41979664676432e-09,"ACTN2","Down"
"ENSG00000077935",90.9119794184078,-1.53295618424352,0.214851760428404,-7.13494821353512,9.68236063149871e-13,2.02554984410953e-10,"SMC1B","Down"
"ENSG00000082556",8.4224111506939,-1.59690069973236,0.314567043214017,-5.07650351230818,3.84443695150309e-07,9.48294448037429e-06,"OPRK1","Down"
"ENSG00000088386",32.1447613819209,-2.46518044791649,0.261744128507872,-9.4182836572869,4.58521553935202e-21,7.09828047216008e-18,"SLC15A1","Down"
"ENSG00000090512",1.91992410748493,-1.93428189193679,0.430818592066401,-4.48978277065319,7.12958444479749e-06,0.000107574727946414,"FETUB","Down"
"ENSG00000092758",459.143403578572,-1.56160951520614,0.218494909864926,-7.14712080099042,8.86168899954926e-13,1.88442355857448e-10,"COL9A3","Down"
"ENSG00000094755",8009.71286920963,-1.93473812423757,0.300765438494504,-6.4327142570702,1.25345158443358e-10,1.19947477919491e-08,"GABRP","Down"
"ENSG00000096006",473.120038341748,-1.91670724642822,0.325166242045825,-5.89454561571034,3.75713800300619e-09,2.05670091926939e-07,"CRISP3","Down"
"ENSG00000100121",1.04092693791756,-1.54018084429519,0.382200456842024,-4.02977237918843,5.58308890570091e-05,0.000585415082168617,"GGTLC2","Down"
"ENSG00000100604",50.8329930245259,-2.82404621748641,0.327205728824686,-8.63079698399629,6.09259402377201e-18,4.36658470200045e-15,"CHGA","Down"
"ENSG00000100867",6837.52977841296,-1.5425635069952,0.327475060348002,-4.71047628896059,2.47138552426658e-06,4.41790127298684e-05,"DHRS2","Down"
"ENSG00000101292",1.17604500727739,-1.72673018828929,0.411723694428276,-4.19390530993619,2.74192476342233e-05,0.000326215715321153,"PROKR2","Down"
"ENSG00000101323",1.32057145117744,-2.06934645928332,0.565690745318827,-3.65808788000769,0.000254103926263597,0.0019887421949957,"HAO1","Down"
"ENSG00000101425",75.7356769329485,-2.08539857803834,0.245875339202851,-8.48152801659319,2.22255531334136e-17,1.41012025798258e-14,"BPI","Down"
"ENSG00000101489",60.3815985237428,-1.68171157976746,0.195856576637362,-8.58644426774207,8.97022976730742e-18,6.09062863954968e-15,"CELF4","Down"
"ENSG00000102021",0.624325152428593,-1.91628037898107,0.474982686908489,-4.03442153113734,5.47369778183021e-05,0.000576443677693586,"LUZP4","Down"
"ENSG00000102109",132.35741343977,-1.72582964825213,0.274945089347818,-6.27699753556562,3.45173552733361e-10,2.84838098888839e-08,"PCSK1N","Down"
"ENSG00000102243",310.605424424645,-3.12245383507273,0.331025775273407,-9.43266074218471,3.99815701449723e-21,6.72768142500312e-18,"VGLL1","Down"
"ENSG00000102290",21.7709999235509,-2.10333464473975,0.30311285900645,-6.93911387208747,3.94567001738188e-12,6.7869031561206e-10,"PCDH11X","Down"
